Field Office,Sub-Office,Jail or Prison Type,Juvenile Facility,Jail or Prison Name,Jail or Prison City,County,State,Jurisdiction,2015 Detainer/Notification Acceptance Status,2015 ICE Comments,2017 ICE Comments,ILRC Analysis,No 287(g),No ICE Detention Contract,No ICE holds,No ICE alerts,Limits on ICE interrogations in jail,Prohibition on asking about immigration status,General prohibition on assistance to ICE,ILRC Total,ILRC Comments,Title of Policy,LINK,GEOID - FIPS
DET,Sault Saint Marie,County/City,NO,Schoolcraft County Jail - MI,Manistique,Schoolcraft,MI,Schoolcraft Sheriffs Department,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,SDDO spoke with Captain B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,26153
DET,Detroit,County/City,NO,Shiawassee County Jail - MI,Corunna,Shiawassee,MI,Shiawassee County,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,AFOD met with Assistant Jail Commander,,,1,1,0,0,0,0,0,2,,,,26155
DET,Grand Rapids,County/City,NO,St. Joseph County Jail - MI,Centreville,St. Joseph,MI,St. Jopesh Sheriffs Department,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,SDDO met with Captain B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,26149
DET,Detroit,County/City,NO,Tuscola County Jail - MI,Caro,Tuscola,MI,Tuscola County Sheriffs Department,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,AFOD met with Lt. B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,26157
DET,Grand Rapids,County/City,NO,Van Buren County Jail - MI,Paw Paw,Van Buren,MI,Van Buren Sheriffs Department,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,SDDO met with Lt B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,26159
DET,Detroit,County/City,NO,Washtenaw County Jail - MI,Ann Arbor,Washtenaw,MI,Washtenaw County Sheriffs Department,1: Not Willing to accept (I-247N) Notifications and (I-247D) Detainers,"AFOD met with Chief Deputy B(6); B(7)C. On 1/27/16, Washtenaw County Jail would not honor an ICE detainer resulting in the release of Priority 1(e) alien, Aggravated Felon.","FOD and AFOD met with Sheriff Clayton on 2/11/17 where he claimed he will not honor ICE detainers and will not hold individuals past their release date, and will not contact ICE prior to release of any alien. Sheriff Clayton did state that he will hold aliens for ICE who have committed serious offenses.",,1,1,1,1,0,0,0,4,,,,26161
DET,Detroit,County/City,NO,Wayne County Jail - MI,Detroit,Wayne County,MI,Wayne County Sheriff's Department,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,Sheriff memorandum issued April 2017,,,26163
DET,Grand Rapids,County/City,NO,Wexford County Jail - MI,Cadillac,Wexford,MI,Wexford County Sheriffs Department,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,SDDO met with Deputy B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,26165
SPM,Bloomington,County/City,NO,Lyon County - MN,Marshall,Lyon County,MN,Lyon County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Spoke with Sheriff B(6); B(7)C. No meeting necessary.,"Copy of Copy of AN 1373: not 1373 compliant; Jail Administrator b(6), b(7)( c ) has stated that they will not allow ICE to interview individuals telephonically.  Lyon County will, however, allow access to the Lyon County jail for interviews.;  Lyon County does not contact ICE of foreign born bookings or releases.&nbsp; Arrests by ICE are only to be made in the lobby of the jail.",,1,1,1,0,1,0,0,3,,,,27083
SPM,Sioux Falls,County/City,NO,N/A,N/A,Rock County,MN,Sheriff Even Verbrugge,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,No jail or LEA,,1,1,1,0,0,0,0,8,,,,27133
SPM,Bloomington,County/City,NO,Aitkin County - MN,Aitkin,Aitkin,MN,Sheriff Scott Turner,,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27001
SPM,Bloomington,County/City,NO,Anoka County - MN,Anoka,Anoka County,MN,Sheriff James Stuart,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27003
SPM,Grand Forks,County/City,NO,Becker County - Max - MN,Detroit Lakes,Becker,MN,Becker County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/23/15;  Met with Jail Administrator B(6); B(7)C.  Willing to work with ICE by providing as much advance notice as possible.,,,1,1,0,0,0,0,0,2,,,,27005
SPM,Grand Forks,County/City,NO,Beltrami County - MN,Bemidji,Beltrami,MN,Beltrami County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/22/15; Met with Sheriff B(6); B(7)C.  Will work with us to provided as much advance notice as possible prior to release.,,,1,1,0,0,0,0,0,2,,,,27007
SPM,Bloomington,County/City,NO,Benton County - MN,Foley,Benton,MN,Benton County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/21/15;  Met with Sheriff B(6); B(7)Cand the Jail Administrator.  Will not hold past scheduled release date but will work with ICE to provide as much heads up as possible.  Update- FOD briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,"Copy of Copy of AN 1373: not 1373 compliant; Limited cooperation, but also limited detainers placed, so no large impact felt",,1,1,1,0,0,0,0,3,,,,27009
SPM,Bloomington,County/City,NO,Blue Earth County - MN,Mankato,BLUE EARTH,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27013
SPM,Bloomington,County/City,NO,Brown County - MN,New Ulm,Brown County,MN,Sheriff Richard Hoffman,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,No follow up required,Accepts I-247A; Allows ICE access to jail but doesn't allow officers to pickup detainees in a secured area (ie sally port); LEA will notify of release but does not give sufficient time to pick up body.,,1,1,1,0,0,0,0,3,,,,27015
SPM,Bloomington,County/City,NO,Carlton County - MN,Carlton,Carlton,MN,Sheriff Kelly Lake,,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27017
SPM,Bloomington,County/City,NO,Carver County - MN,CHASKA,Carver,MN,Carver County Sheriffs Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,"Spoke with Jail Administrator, B(6); B(7)C.  Well informed on PEP program, did not want further meeting on PEP.  Update- FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.",IGSA,,1,0,0,0,0,0,0,1,,,,27019
SPM,Grand Forks,County/City,NO,Cass County - MN,Walker,Cass,MN,Cass County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Sheriff referred us to the Jail Administrator.  Met with the Jail Administrator on 07/24/15.  Will not hold past scheduled criminal release date but will work with ICE to notify us as soon as possible.,,,1,1,0,0,0,0,0,2,,,,27021
SPM,Bloomington,County/City,NO,Chippewa County - MN,Montevideo,Chippewa County,MN,Sheriff Stacy Tufto,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,No follow up requested.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27023
SPM,Bloomington,County/City,NO,Chisago County - MN,Center City,Chisago County,MN,Sheriff Rick Duncan,,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27025
SPM,Grand Forks,County/City,NO,Clay County Jail - MN,Moorhead,Clay,MN,Sheriff Bill Bergquist,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,"Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.
Jail is undergoing renovations and does not currently have the resources to hold for up to 48 hours.  Will hold as long as possible depending on resources.",,1,1,1,0,0,0,0,3,,,,27027
SPM,Grand Forks,County/City,NO,Clearwater County - MN,BAGLEY,Clearwater,MN,Sheriff Darin Halverson,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27029
SPM,Bloomington,County/City,NO,Cook County - MN,Grand Marais,Cook,MN,Sheriff Pat Eliasen,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Administrator B(6); B(7)C.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27031
SPM,Sioux Falls,County/City,NO,Cottonwood County - MN,Windom,Cottonwood County,MN,Sheriff Jason Purrington,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27033
SPM,Bloomington,County/City,NO,Crow Wing County - MN,Brainerd,Crow Wing,MN,Crow Wing County Sherffice's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/21/15;  Met with Chief Deputy B(6); B(7)C and the Jail Administrator.  Will not hold past scheduled release date but will work to ICE by notifying us as soon as possible.,,,1,1,0,0,0,0,0,2,,,,27035
SPM,Bloomington,County/City,NO,Dakota County - MN,Hastings,Dakota County,MN,Dakota County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27037
SPM,Bloomington,County/City,NO,Dodge County - MN,Mantorville,Dodge,MN,Sheriff Scott Rose,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,Dodge County does not have a detention center and does not house detainees.,,1,1,0,0,0,0,0,8,,,,27039
SPM,Bloomington,County/City,NO,Douglas County - MN,ALEXANDRIA,DOUGLAS,MN,YES,"Holds for Grant, Pope, and Stevens Minnesota counties",,"Holds for Grant, Pope, and Stevens Minnesota counties",,1,1,0,0,0,0,0,2,,,,27041
SPM,Bloomington,County/City,NO,Faribault County - MN,Blue Earth,FARIBAULT,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27043
SPM,Bloomington,County/City,NO,Fillmore County - MN,PRESTON,Fillmore,MN,Sheriff Thomas Kaase,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,Copy of Copy of AN 1373: not 1373 compliant;  Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27045
SPM,Bloomington,County/City,NO,Freeborn County - MN,Albert Lea,Freeborn County,MN,Freeborn County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Jail Administrator B(6); B(7)C.  Will work with ICE to provide as much notification as possible.,IGSA,,1,0,0,0,0,0,0,1,,,,27047
SPM,Bloomington,County/City,NO,Goodhue County - MN,Red Wing,Goodhue,MN,Goodhue County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Sheriff B(6); B(7)C,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27049
SPM,Bloomington,County/City,NO,Hennepin County ADC - MN,Minneapolis,Hennepin County,MN,Sheriff Richard Stanek,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,NSA Chairman for Homeland Security and LEITF member. Has been part of numerous White House meetings regarding Immigration Enforcment.  Has already arranged a meeting at the NSA with B(6); B(7)C 06/27/15; met at NSA.  Update- FOD distributed,"Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to the jail; LEA cooperates and will hold up to 2 or 3 hours after release notification; Hennepin County is now notifying ICE of all foreign born individuals booked into their facility. They also notify ICE prior to release but the hold time is limited to a few hours.  In May of 2017, Hennepin County provided ICE with office space at their jail.  The office is currently being set up for  functional use.",,1,1,1,0,0,0,0,3,,Statement on US Immigration and Customs Detainers,https://www.ilrc.org/sites/default/files/resources/hennepin_county_0.pdf,27053
SPM,Bloomington,County/City,NO,Houston County - MN,Caledonia,Houston County,MN,Sheriff Mark Inglett,,,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27055
SPM,Grand Forks,County/City,NO,Hubbard County - MN,Park Rapids,Hubbard,MN,Hubbard County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/23/15;  Met with Sheriff B(6); B(7)C and his Chief Deputy.  Willing to work with ICE by providing as much advance notice as possible.,,,1,1,0,0,0,0,0,2,,,,27057
SPM,Bloomington,County/City,NO,Isanti County - MN,Cambridge,ISANTI,MN,YES,,,,,1,1,0,0,0,0,0,2,,,,02709
SPM,Grand Forks,County/City,NO,Itasca County - MN,Grand Rapids,Itasca,MN,Sheriff Vic B(6); B(7)C,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Administrator B(6); B(7)C,,,1,1,0,0,0,0,0,2,,,,27061
SPM,Sioux Falls,County/City,NO,Jackson County - MN,Jackson,Jackson County,MN,Sheriff Roger Hawkinson,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,,"Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges. Due to driving distance, notification is not adequate",,1,1,1,0,0,0,0,3,,,,27063
SPM,Bloomington,County/City,NO,Kanabec County - MN,Mora,Kanabec County,MN,Sheriff Brian Smith,,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27065
SPM,Bloomington,County/City,NO,Kandiyohi County - MN,Willmar,Kandiyohi,MN,Sheriff Daniel Hartog,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27067
SPM,Grand Forks,County/City,NO,Kittson County - MN,Hallock,Kittson,MN,Sheriff Kenny Hultgren,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27069
SPM,Grand Forks,County/City,NO,Koochiching County - MN,International Falls,Koochiching,MN,Sheriff Perry Hedlund,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Administrator B(6); B(7)C.  Will continue to provide as much notice as possible.,,,1,1,0,0,0,0,0,2,,,,27071
SPM,Bloomington,County/City,NO,Lac qui Parle County - MN,MADISON,LAC QUI PARLE,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27073
SPM,Bloomington,County/City,NO,Lake County - MN,Two Harbors,Lake,MN,Sheriff Carey Johnson,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Administrator B(6); B(7)C.  Will provide as much notification as possible.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27075
SPM,Grand Forks,County/City,NO,Lake of the Woods County - MN,Baudette,Lake of the Woods,MN,Sheriff Gary Fish,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with the Chief Deputy.  LOW will provide as much notification as possible.,,,1,1,0,0,0,0,0,2,,,,27077
SPM,Bloomington,County/City,NO,Le Sueur County - MN,LE CENTER,LeSueur,MN,LeSueur County Sheriff's Office,,,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27079
SPM,Sioux Falls,County/City,NO,Lincoln County - MN,IVANHOE,Lincoln County,MN,Sheriff Chad Meester,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27081
SPM,Grand Forks,County/City,NO,Mahnomen County - MN,Mahnomen,Mahnomen,MN,Sheriff Doug Krier,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27087
SPM,Bloomington,County/City,NO,Martin County - MN,Fairmont,MARTIN,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27091
SPM,Bloomington,County/City,NO,McLeod County - MN,Glencoe,McLeod,MN,McLeod County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27085
SPM,Bloomington,County/City,NO,Meeker County - MN,Litchfield,Meeker County,MN,Meeker County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Spoke with Sheriff B(6); B(7)C on phone. No meeting necessary.,"Copy of Copy of AN 1373: not 1373 compliant; Meeker is not consitent with notification on front or back end, but not enough of a sample size",,1,1,0,0,0,0,0,2,,,,27093
SPM,Bloomington,County/City,NO,Mille Lacs County - MN,Milaca,MILLE LACS,MN,YES,,,,,1,1,0,0,0,0,0,2,,,,27095
SPM,Bloomington,County/City,NO,Morrison County - MN,Little Falls,Morrison,MN,Morrison County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/21/15;  Met with Jail Administrator B(6); B(7)C.  Will not hold past scheduled release date but willing to work with ICE to notify us as soon as possible.,,,1,1,0,0,0,0,0,2,,,,27097
SPM,Bloomington,County/City,NO,Mower County - MN,AUSTIN,Mower,MN,Sheriff Terese Amazi,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,No follow up requested,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27099
St. Paul,Bloomington,County/City,NO,Nicollet County - MN,Saint Peter,NICOLLET,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27103
SPM,Sioux Falls,County/City,NO,Nobles County - MN,Worthington,Nobles County,MN,Sheriff Kent Wilkening,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,St. Paul ERO continues to have a great working relationship with Nobles County Jail. Nobles County continues to accept form I-247N.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges without an I-203.,,1,0,1,0,0,0,0,2,,,,27105
SPM,Grand Forks,County/City,NO,Tri-County Corrections,Crookston,Norman,MN,Sheriff Jeremy Thornton,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Uses Tri-County Community Corrections,No JAIL IN THIS COUNTY or LEA,,1,1,0,0,0,0,0,8,,,,27107
SPM,Bloomington,County/City,NO,Olmsted County - MN,Rochester,Olmsted County,MN,Olmsted County Sheriff,,,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,Does not hold people on ICE detainers; may have other restrictions on ICE assistance as well.,,,
SPM,Grand Forks,County/City,NO,Otter Tail County - MN,Fergus Falls,Otter Tail,MN,Sheriff Brian Schlueter,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27111
SPM,Grand Forks,County/City,NO,Pennington County - MN,Thief River Falls,Pennington,MN,Sheriff Ray Kuznia,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27113
SPM,Bloomington,County/City,NO,Pine County - MN,Pine City,PINE,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27115
SPM,Sioux Falls,County/City,NO,Pipestone County - MN,PIPESTONE,Pipestone,MN,Sherifrf Keith Vreeman,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27117
SPM,Grand Forks,County/City,NO,Polk County - MN,Crookston,Polk,MN,Sheriff Barb Erdmann,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,The jail is run by Tri-County Corrections,,,1,1,0,0,0,0,0,2,,,,27119
SPM,Bloomington,County/City,NO,Ramsey County ADC - MN,St. Paul,Ramsey,MN,Sheriff Matt Bostrum,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Undersheriff B(6); B(7)C and Lt. B(6); B(7)C.  Update- FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,Copy of Copy of AN 1373: not 1373 compliant; IGSA,,1,0,0,0,0,0,0,1,,,,27123
St. Paul,Bloomington,County/City,NO,Redwood County - MN,REDWOOD FALLS,REDWOOD,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27127
St. Paul,Bloomington,County/City,NO,Renville County - MN,Olivia,RENVILLE,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27129
SPM,Bloomington,County/City,NO,Rice County - MN,Faribault,Rice,MN,Sheriff Troy Dunn,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27131
SPM,Grand Forks,County/City,NO,Roseau County - MN,Roseau,Roseau,MN,Sheriff Steve Gust,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,"MEt with the Sheriff, CHief Deputy and Jail Administrator.  Will provide as much notification as necessary.",,,1,1,0,0,0,0,0,2,,,,27135
SPM,Bloomington,County/City,NO,Scott County - MN,Shakopee,Scott County,MN,Scott County Sheriff,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27139
SPM,Bloomington,County/City,NO,Sherburne County - MN,ELK RIVER,Sherburne County,MN,Sherburne County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,FOD distributed information and briefed Several sheriff's and or senior staff on PEP during monthly Metro Sheriff's meeting.,IGSA,,1,0,0,0,0,0,0,1,,,,27141
SPM,Bloomington,County/City,NO,Sibley County - MN,Gaylord,Sibley,MN,Sibley County Sheriff's Office,,,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27143
SPM,Bloomington,County/City,NO,St. Louis County - MN,DULUTH,St. Louis,MN,Sheriff Ross Litman,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,Met with Jail Administrator and staff.  Will follow up and meet with the two 72-hour facilities.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27137
SPM,Bloomington,County/City,NO,Stearns County - MN,Saint Cloud,Stearns County,MN,Stearns County Sheriffs Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,"Understood PEP program, answered all questions.",Copy of Copy of AN 1373: not 1373 compliant; UncoopCounties April 1,,1,1,1,0,0,0,0,3,,,,27145
SPM,Bloomington,County/City,NO,Steele County - MN,Owatonna,Steele County,MN,Sheriff Lon Thiele,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,No follow up requested,,,1,1,0,0,0,0,0,2,,,,27147
SPM,Bloomington,County/City,NO,Swift County - MN,"Benson, MN",Swift,MN,Swift County Sherriff’s Office,,,"Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.
Low impact to ICE.  No releases w/in last year whom ICE had interest.",,1,1,1,0,0,0,0,3,,,,27151
SPM,Bloomington,County/City,NO,Todd County - MN,Long Prairie,Todd,MN,Todd County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/20/15;  Met with Sheriff and Jail Administrator.  Does not wish to hold past scheduled release date but will work with ICE by notify us as soon as possible.,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27153
SPM,Bloomington,County/City,NO,Traverse County - MN,Wheaton,Traverse,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27155
SPM,Bloomington,County/City,NO,Wabasha County - MN,Wabasha,Wabasha County,MN,Sheriff Rodney Bartsh,,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27157
SPM,Grand Forks,County/City,NO,Wadena County - MN,Wadena,Wadena,MN,Wadena County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,07/20/15;  Met with Sheriff B(6); B(7)C and Jail Administrator.  Will not hold past release date but will notify us as soon as possible.  Very few foreign born encounters.  Most releases are with little notice.,,,1,1,1,0,0,0,0,3,,,,27159
SPM,Bloomington,County/City,NO,Waseca County - MN,Waseca,WASECA,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27161
SPM,Bloomington,County/City,NO,Washington County - MN,Stillwater,Washington County,MN,Washington County Sheriff's Office,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,FOD distributed information and briefed Several sheriff's on PEP during monthly Metro Sheriff's meeting.,ICE can hold for less than seven days at Washington Co off of USMS contract,,1,0,0,0,0,0,0,1,,,,27163
SPM,Bloomington,County/City,NO,Watonwan County - MN,Saint James,WATONWAN,MN,YES,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,0,0,0,0,0,2,,,,27165
SPM,Grand Forks,County/City,NO,Wilkin County - MN,Breckenridge,Wilkin,MN,Sheriff Rick Fiedler,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,,,,1,1,0,0,0,0,0,2,,,,27167
SPM,Bloomington,County/City,NO,Winona County - MN,Winona,Winona County,MN,Sheriff Ron Ganrude,3: Willing to accept (I-247N) Notifications but not (I-247D) Detainers,No follow up requested,Copy of Copy of AN 1373: not 1373 compliant; Accepts I-247A; Allows ICE access to jail; LEA cooperates and will hold up to point of release on local charges.,,1,1,1,0,0,0,0,3,,,,27169
